x,y,z,Mx,My,Mz
113.0,206.0,-25.0,-13389.950074828545,-32560.50038349645,1807.8645065155392
113.0,206.0,-20.0,-13724.576381596658,-33542.11326772744,1541.4878660889858
113.0,206.0,-15.0,-14540.103869372215,-34731.50958335586,-3.401848172526681e-10
113.0,206.0,-10.0,-13724.576381596706,-33542.11326772691,-1541.487866088774
113.0,206.0,-5.0,-13389.950074828861,-32560.500383495677,-1807.8645065159342
113.0,206.0,0.0,-13677.865102350426,-30934.874686809067,-1725.1661448719983
113.0,211.0,-30.0,-9873.441712087293,-26534.571802617782,1018.3911346080948
113.0,211.0,-25.0,-10971.524054835454,-28115.447886138172,1690.2592486649748
113.0,211.0,-20.0,-11711.572421321975,-29540.846566260017,948.3012234982433
113.0,211.0,-15.0,-11936.744950846769,-30541.598643163597,2.1912221141505026e-11
113.0,211.0,-10.0,-11711.572421321334,-29540.846566259388,-948.301223498524
113.0,211.0,-5.0,-10971.524054835802,-28115.44788613758,-1690.2592486653648
113.0,211.0,0.0,-9873.441712087357,-26534.57180261618,-1018.3911346079645
113.0,216.0,-30.0,0.0,0.0,0.0
113.0,216.0,-25.0,0.0,0.0,0.0
113.0,216.0,-20.0,0.0,0.0,0.0
113.0,216.0,-15.0,0.0,0.0,0.0
113.0,216.0,-10.0,0.0,0.0,0.0
113.0,216.0,-5.0,0.0,0.0,0.0
113.0,216.0,0.0,0.0,0.0,0.0
113.0,221.0,-30.0,0.0,0.0,0.0
113.0,221.0,-25.0,0.0,0.0,0.0
113.0,221.0,-20.0,0.0,0.0,0.0
113.0,221.0,-15.0,0.0,0.0,0.0
113.0,221.0,-10.0,0.0,0.0,0.0
113.0,221.0,-5.0,0.0,0.0,0.0
113.0,221.0,0.0,0.0,0.0,0.0
113.0,226.0,-30.0,0.0,0.0,0.0
113.0,226.0,-25.0,0.0,0.0,0.0
113.0,226.0,-20.0,0.0,0.0,0.0
113.0,226.0,-15.0,0.0,0.0,0.0
113.0,226.0,-10.0,0.0,0.0,0.0
113.0,226.0,-5.0,0.0,0.0,0.0
113.0,226.0,0.0,0.0,0.0,0.0
113.0,231.0,-30.0,0.0,0.0,0.0
113.0,231.0,-25.0,0.0,0.0,0.0
113.0,231.0,-20.0,0.0,0.0,0.0
113.0,231.0,-15.0,0.0,0.0,0.0
113.0,231.0,-10.0,0.0,0.0,0.0
113.0,231.0,-5.0,0.0,0.0,0.0
113.0,231.0,0.0,0.0,0.0,0.0
113.0,236.0,-30.0,0.0,0.0,0.0
113.0,236.0,-25.0,0.0,0.0,0.0
113.0,236.0,-20.0,0.0,0.0,0.0
113.0,236.0,-15.0,0.0,0.0,0.0
113.0,236.0,-10.0,0.0,0.0,0.0
113.0,236.0,-5.0,0.0,0.0,0.0
113.0,236.0,0.0,0.0,0.0,0.0
118.0,136.0,-30.0,-26675.552964281615,-55625.10283901285,15921.838071972423
118.0,136.0,-25.0,-30721.757853388368,-64569.02721310858,14758.808014096725
118.0,136.0,-20.0,-34645.87004959707,-74255.47738836463,10626.18485132333
118.0,136.0,-15.0,-37995.84810958034,-81155.82485305886,-1.8262187204061028e-10
118.0,136.0,-10.0,-34645.87004959735,-74255.4773883636,-10626.184851322285
118.0,136.0,-5.0,-30721.757853388193,-64569.027213107605,-14758.808014096498
118.0,136.0,0.0,-26675.552964282073,-55625.10283901332,-15921.838071972046
118.0,141.0,-30.0,-25861.666896255232,-56356.80143619584,10578.874804101344
118.0,141.0,-25.0,-28935.90570521608,-63659.19145027942,11609.061925090215
118.0,141.0,-20.0,-34860.20012155368,-71387.98123717833,7430.325454779376
118.0,141.0,-15.0,-37237.95065921878,-75260.77123794732,5.811233887260852e-10
118.0,141.0,-10.0,-34860.200121553775,-71387.98123717651,-7430.325454779105
118.0,141.0,-5.0,-28935.905705215835,-63659.1914502785,-11609.06192508944
